material_id,formula,space_group_number,hybrid_probability,energy_above_hull,has_inversion
mp-780872,mp-780872,14,0.000151204715485,0.086970144180046,True
mp-770749,mp-770749,1,0.000151204715485,0.086974786590904,False
mp-780123,mp-780123,2,0.000151204715485,0.086977691914064,True
mp-752466,mp-752466,38,0.000151204715485,0.086983256874997,False
mp-1304562,mp-1304562,99,0.000151204715485,0.086988007870366,False
mp-1374622,mp-1374622,1,0.000151204715485,0.08699211011905,False
mp-1523019,mp-1523019,201,0.000151204715485,0.086992217937499,False
mp-1045021,mp-1045021,12,0.000151204715485,0.086992648531248,True
mp-759440,mp-759440,14,0.000151204715485,0.08699809625001,True
mp-859784,mp-859784,62,0.000151204715485,0.087001776607142,True
mp-759436,mp-759436,6,0.0001885667137216,0.087049707222222,False
mp-849300,mp-849300,6,0.0001715338776981,0.0870394115,False
mp-757405,mp-757405,33,0.000151204715485,0.087028072499986,False
mp-773121,mp-773121,12,0.000151204715485,0.087047763541668,False
mp-775232,mp-775232,122,0.000151204715485,0.087051752624999,False
mp-1245162,mp-1245162,1,0.000151204715485,0.087059169190476,False
mp-1283838,mp-1283838,2,0.000151204715485,0.087059499999999,False
mp-1184432,mp-1184432,194,0.000151204715485,0.087060872499996,True
mp-753060,mp-753060,15,0.000151204715485,0.087064177578127,True
mp-779874,mp-779874,14,0.000151204715485,0.087073368214285,True
mp-756247,mp-756247,38,0.0003429640732426,0.08726895296296,False
mp-769997,mp-769997,176,0.000151204715485,0.087077309642852,True
mp-1213116,mp-1213116,14,0.000151204715485,0.087080094999999,True
mp-1147615,mp-1147615,225,0.000151204715485,0.087081090261904,True
mp-850964,mp-850964,36,0.000151204715485,0.08708186,False
mp-777358,mp-777358,14,0.000151204715485,0.087086167453708,True
mp-778751,mp-778751,7,0.0002200361702988,0.087158756064805,False
mp-1200026,mp-1200026,174,0.000151204715485,0.087096654861115,False
mp-762856,mp-762856,9,0.000151204715485,0.087101641634614,False
mp-753682,mp-753682,131,0.000151204715485,0.087101994999999,True
mp-758541,mp-758541,62,0.000151204715485,0.087121957805547,True
mp-781602,mp-781602,1,0.0001605163336715,0.087133980451363,False
mp-1210559,mp-1210559,14,0.000151204715485,0.087133179423071,True
mp-778489,mp-778489,7,0.000151204715485,0.087134452361103,False
mp-758631,mp-758631,40,0.000151204715485,0.087141466987189,False
mp-2224487,mp-2224487,1,0.000151204715485,0.087144352755368,False
mp-1258129,mp-1258129,142,0.000151204715485,0.08715322996528,True
mp-776958,mp-776958,1,0.000151204715485,0.087158654201362,False
mp-765651,mp-765651,159,0.000151204715485,0.087164491190475,False
mp-1176634,mp-1176634,36,0.000151204715485,0.087171810499996,False
mp-778354,mp-778354,1,0.000151204715485,0.087201975091462,False
mp-867606,mp-867606,4,0.000151204715485,0.087210300254628,False
mp-1335238,mp-1335238,4,0.000151204715485,0.087214137999995,False
mp-1041583,mp-1041583,57,0.000151204715485,0.08722024988095,True
mp-1318077,mp-1318077,1,0.000151204715485,0.08722397607143,False
mp-1644852,mp-1644852,1,0.000151204715485,0.087233745170454,False
mp-1043503,mp-1043503,130,0.000151204715485,0.08723689052083,True
mp-757461,mp-757461,14,0.000151204715485,0.087237707885814,True
mp-1226197,mp-1226197,102,0.000151204715485,0.087251069444445,False
mp-1251086,mp-1251086,8,0.000151204715485,0.087259088625,False
mp-754261,mp-754261,65,0.000151204715485,0.08727669067308,True
mp-766466,mp-766466,14,0.000151204715485,0.087281202090907,True
mp-759971,mp-759971,6,0.0001885667137216,0.08732086925926,False
mp-1308806,mp-1308806,8,0.000151204715485,0.087283975500001,False
mp-1196798,mp-1196798,14,0.000151204715485,0.087310915500008,True
mp-532767,mp-532767,221,0.000151204715485,0.087312349275865,True
mp-758521,mp-758521,82,0.000151204715485,0.087312527380952,False
mp-757451,mp-757451,2,0.000151204715485,0.087313250178571,True
mp-758646,mp-758646,64,0.000151204715485,0.08731728785714,True
mp-541977,mp-541977,14,0.000151204715485,0.087319070416665,True
mp-1291748,mp-1291748,1,0.000151204715485,0.087321343928572,False
mp-505717,mp-505717,12,0.000151204715485,0.08733146174999,True
mp-770194,mp-770194,14,0.000151204715485,0.087331630464737,True
mp-758566,mp-758566,14,0.000151204715485,0.087332687638872,True
mp-1216326,mp-1216326,38,0.000151204715485,0.087334501666668,False
mp-697784,mp-697784,9,0.000151204715485,0.087338217361108,False
mp-754104,mp-754104,4,0.000151204715485,0.087347135059522,False
mp-1977502,mp-1977502,2,0.000151204715485,0.087349053579544,False
mp-1195819,mp-1195819,57,0.000151204715485,0.087352868125023,True
mp-762996,mp-762996,40,0.0001975883987229,0.087399538935186,False
mp-569446,mp-569446,194,0.000151204715485,0.087368079999997,True
mp-728306,mp-728306,61,0.000151204715485,0.087371455456516,True
mp-1173437,mp-1173437,2,0.000151204715485,0.087384703333334,False
mp-780394,mp-780394,14,0.000151204715485,0.087390297083331,True
mp-652781,mp-652781,5,0.000151204715485,0.087392851481482,False
mp-1177493,mp-1177493,44,0.000151204715485,0.087403208928568,False
mp-1181636,mp-1181636,14,0.000151204715485,0.087417093000002,True
mp-1189575,mp-1189575,127,0.000151204715485,0.087422526666665,True
mp-766594,mp-766594,14,0.000151204715485,0.087434967548079,True
mp-851075,mp-851075,14,0.000151204715485,0.087437716309518,True
mp-772590,mp-772590,203,0.000151204715485,0.08743908629311,False
mp-770944,mp-770944,1,0.000151204715485,0.087443686728384,False
mp-540684,mp-540684,15,0.000151204715485,0.087445134044118,True
mp-1042623,mp-1042623,61,0.000151204715485,0.087452828072919,True
mp-1045708,mp-1045708,31,0.000151204715485,0.087456210694442,False
mp-780700,mp-780700,61,0.000151204715485,0.087458987875,True
mp-1178303,mp-1178303,12,0.000257275758557,0.087566709506172,True
mp-763313,mp-763313,4,0.000151204715485,0.087473887380952,False
mp-1200390,mp-1200390,2,0.000151204715485,0.087475506995458,True
mp-2715172,mp-2715172,161,0.000151204715485,0.087475617341265,False
mp-32850,mp-32850,122,0.000151204715485,0.087484974250003,False
mp-2714815,mp-2714815,1,0.000151204715485,0.087489688028459,False
mp-1178070,mp-1178070,19,0.000151204715485,0.087501346960785,False
