rank_hybrid,material_id,formula,space_group_number,crystal_system,gnn_probability,hybrid_probability,hybrid_probability_std,explicit_only_probability,embedding_only_probability,formation_energy_per_atom,energy_above_hull,band_gap,n_magnetic_sites,magnetic_elements,dft_priority_score,dft_selected,rationale
60,mp-755255,Cu6 O2 F10,4,monoclinic,0.9921044111251832,0.9905595828863621,0.0,0.9905595828863621,0.9905595828863621,-1.5964338016666662,0.031347092534722,0.0,6,Cu,0.9592124903516401,False,hybrid=0.991; hull=0.031347092534722; magnetic=Cu
61,mp-1096967,Fe12 F36,63,orthorhombic,0.9999191761016846,0.9706303496925758,0.0,0.9706303496925758,0.9706303496925758,-2.636867775833333,0.011904239583333,3.0128,12,Fe,0.9587261101092428,False,hybrid=0.971; hull=0.011904239583333; magnetic=Fe
62,mp-757118,Li2 Mn4 F12,136,tetragonal,0.966985523700714,0.9816847845864686,0.0,0.9816847845864686,0.9816847845864686,-2.920481418243933,0.024529928611111,0.0,4,Mn,0.9571548559753575,False,hybrid=0.982; hull=0.024529928611111; magnetic=Mn
63,mp-756017,Mn12 O2 F22,38,orthorhombic,0.9570972323417664,0.9921132702669914,0.0,0.9921132702669914,0.9921132702669914,-2.836283433199234,0.03531375087962,0.0,12,Mn,0.9567995193873714,False,hybrid=0.992; hull=0.03531375087962; magnetic=Mn
64,mp-754817,Co12 O2 F22,38,orthorhombic,0.9138733744621276,0.9866783024528858,0.0,0.9866783024528858,0.9866783024528858,-2.205787613888889,0.030126425000002,0.8186,12,Co,0.9565518774528838,False,hybrid=0.987; hull=0.030126425000002; magnetic=Co
65,mp-705329,Li12 Fe8 P12 O48,9,monoclinic,0.9942718744277954,0.9884593490592332,0.0,0.9884593490592332,0.9884593490592332,-2.479199616196427,0.033042432999999,2.5251,8,Fe,0.9554169160592342,False,hybrid=0.988; hull=0.033042432999999; magnetic=Fe
66,mp-754243,Cr8 O2 F22,5,monoclinic,0.9999996423721312,0.9883639825595552,0.0,0.9883639825595552,0.9883639825595552,-2.8806371175,0.035829051833336,0.9415,8,Cr,0.9525349307262192,False,hybrid=0.988; hull=0.035829051833336; magnetic=Cr
67,mp-558695,Ba16 Mn16 Si16 O72,61,orthorhombic,0.0063874013721942,0.951542387362435,0.0,0.951542387362435,0.951542387362435,-2.941271287640806,0.0,1.9934,16,Mn,0.951542387362435,False,hybrid=0.952; hull=0.0; magnetic=Mn
68,mp-737304,Mn36 Si16 O72,33,orthorhombic,0.9999887943267822,0.9976934900729933,0.0,0.9976934900729933,0.9976934900729933,-2.492905685689655,0.046415800985679,0.0,36,Mn,0.9512776890873144,False,hybrid=0.998; hull=0.046415800985679; magnetic=Mn
69,mp-1222227,Mn20 Si12 C1,10,monoclinic,0.999974012374878,0.9806232244614006,0.0,0.9806232244614006,0.9806232244614006,-0.41781539870167,0.03038696280303,0.0,20,Mn,0.9502362616583706,False,hybrid=0.981; hull=0.03038696280303; magnetic=Mn
