feature,importance
num__emb_275,5.366969063308734e-05
num__emb_249,5.276824086634446e-05
num__emb_278,5.198406745558727e-05
num__emb_455,5.132329700886737e-05
num__emb_216,5.107133804880084e-05
cat__point_group_2/m,4.891712809410875e-05
num__emb_064,4.861424700178433e-05
num__emb_211,4.76630442394773e-05
cat__point_group_-1,4.755516953590534e-05
num__emb_281,4.6402071876891484e-05
num__emb_315,4.484227906542617e-05
num__emb_098,4.400150070814851e-05
num__emb_056,4.3576109461749083e-05
num__emb_062,4.2835313888072285e-05
num__emb_031,4.137125121655494e-05
num__emb_348,4.019973570549402e-05
num__emb_169,3.997721995374126e-05
num__emb_460,3.858692916584958e-05
num__emb_384,3.7958101306212386e-05
num__emb_359,3.78480751190971e-05
num__emb_431,3.6974940148839905e-05
num__emb_146,3.652464765158106e-05
num__emb_008,3.5874011603816414e-05
num__emb_428,3.471763770945352e-05
num__emb_237,3.4659323752015324e-05
num__emb_223,3.375771029910144e-05
num__space_group_number,3.3407841709191306e-05
num__emb_404,3.32530129442412e-05
num__emb_063,3.30516166493883e-05
num__emb_307,3.235133498209519e-05
num__emb_252,3.11883240027079e-05
num__emb_453,3.1004256945552166e-05
num__emb_468,3.068809953579438e-05
num__emb_496,3.0605732325840475e-05
num__emb_222,3.0235254941832782e-05
num__emb_267,2.9877568007780657e-05
num__energy_above_hull,2.8514963870125226e-05
num__emb_433,2.7542435811767877e-05
num__emb_051,2.741726663673736e-05
num__emb_128,2.700778935979429e-05
cat__crystal_system_triclinic,2.688112605023115e-05
num__emb_129,2.6350096738459345e-05
num__emb_470,2.5230676586759435e-05
num__emb_294,2.497024259424104e-05
num__emb_038,2.3375519150447575e-05
num__emb_090,2.3211928624514723e-05
num__emb_149,2.3206499237001343e-05
num__emb_159,2.2902579371548677e-05
cat__crystal_system_orthorhombic,2.2597160319406585e-05
num__emb_472,2.1700261057204363e-05
num__emb_410,2.1629437863316334e-05
num__emb_344,2.139984023889256e-05
num__emb_462,2.1213629991363332e-05
num__emb_104,2.023756811349002e-05
num__emb_100,1.857165892337036e-05
cat__point_group_4/mmm,1.7377150329839807e-05
num__emb_118,1.6764562222300004e-05
num__volume_per_atom,1.6314970383092087e-05
num__emb_244,1.5961054511446052e-05
num__emb_277,1.5154542579091481e-05
num__emb_386,1.4969620092726875e-05
num__emb_389,1.4552916625743435e-05
num__emb_444,1.4041782903939857e-05
num__emb_350,1.3861711703871238e-05
num__emb_479,1.357470994028869e-05
num__emb_078,1.3050668173882536e-05
num__emb_123,1.198230191467087e-05
num__emb_332,1.1864652335547086e-05
num__emb_112,1.1422425072158651e-05
num__emb_481,1.0035401469229625e-05
num__emb_186,9.829259417224659e-06
num__emb_367,9.402896998585709e-06
num__emb_108,8.188209027656625e-06
num__emb_199,8.170564960413477e-06
num__emb_044,7.226944901177036e-06
num__emb_017,6.496111367932618e-06
num__emb_259,6.2794055060696336e-06
num__density,6.048667579330877e-06
num__emb_052,5.741288533309787e-06
num__emb_266,4.921963527763598e-06
cat__point_group_m,4.513825067995325e-06
num__emb_009,4.112688312497134e-06
num__emb_110,4.105659960743667e-06
num__emb_297,4.102533259060301e-06
cat__point_group_4/m,4.099492835822102e-06
cat__point_group_-6m2,4.060552311332585e-06
num__band_gap,3.6955580688427154e-06
cat__point_group_-3,3.681168397967573e-06
cat__crystal_system_tetragonal,3.6726512839066645e-06
num__emb_190,3.6710928365799924e-06
num__emb_005,3.2616671410756157e-06
num__emb_006,2.8807217643723578e-06
cat__crystal_system_monoclinic,2.816566340676689e-06
cat__point_group_-42m,2.4569071817233876e-06
num__emb_020,2.053545514172384e-06
