material_id,label,source_split,crystal_system,magnetic_elements,pc1,pc2
mp-1642906,unknown,unconfirmed_candidate,triclinic,,3.0242302290141296,-7.278911746994126
mp-1157332,unknown,unconfirmed_candidate,cubic,,-16.24749898251084,4.524788276364717
mp-1097076,0,label0,orthorhombic,,0.8062323340323729,-1.2058108786317945
mp-488,unknown,unconfirmed_candidate,hexagonal,,0.13271850066679036,-4.769996148969794
mp-1031245,0,label0,tetragonal,,-3.2133078399722415,-0.2408155580330984
mp-1097530,0,label0,orthorhombic,,-8.91651982697196,0.8782182335136319
mp-1258376,unknown,unconfirmed_candidate,tetragonal,,-29.54781495897381,12.915058382938216
mp-744713,unknown,unconfirmed_candidate,tetragonal,,-3.6235180105606553,-1.9940087662544972
mp-2220580,unknown,unconfirmed_candidate,triclinic,,-2.140240924615174,18.41681893049378
mp-555540,unknown,unconfirmed_candidate,monoclinic,,-1.3625989705243988,-2.382993985869719
mp-2230963,unknown,unconfirmed_candidate,triclinic,,0.5319538862440538,-3.473151173206661
mp-778107,unknown,unconfirmed_candidate,triclinic,,7.671982773466713,2.0291515011266625
mp-1345659,unknown,unconfirmed_candidate,monoclinic,,-9.576388884972495,0.13630497636559014
mp-1274267,unknown,unconfirmed_candidate,monoclinic,,0.5241686200382105,-1.5720014322150178
mp-752566,0,label0,triclinic,,-11.694911637631968,2.2963500771111214
mp-1188785,0,label0,tetragonal,,7.065823067137529,-2.2788627143655695
mp-1099574,unknown,unconfirmed_candidate,triclinic,,5.515943323965269,-2.650002928309245
mp-1068639,0,label0,tetragonal,,9.13448025072717,3.4926800835977403
mp-26967,unknown,unconfirmed_candidate,orthorhombic,,-10.052465726707087,2.186028944257611
mp-1093967,0,label0,orthorhombic,,4.30402607099459,-4.390027690371918
mp-1216945,0,label0,tetragonal,,1.241048123671849,1.9263752041779334
mp-1567719,unknown,unconfirmed_candidate,triclinic,,-4.363046214641518,-4.43826442176667
mp-1233349,unknown,unconfirmed_candidate,triclinic,,-3.329752956453717,-8.175724709675746
mp-1205182,unknown,unconfirmed_candidate,monoclinic,,9.181617431250677,4.857999121394393
mp-698414,unknown,unconfirmed_candidate,triclinic,,-2.610078385204954,-3.4875259614024063
mp-2715889,unknown,unconfirmed_candidate,triclinic,,-2.661939689736524,-6.270668218924952
mp-1355687,unknown,unconfirmed_candidate,triclinic,,2.089036352564282,-8.814832237001092
mp-1220806,0,label0,trigonal,,9.04395306824348,-5.640984282440105
mp-1176731,unknown,unconfirmed_candidate,monoclinic,,-1.7346108876940818,16.43432825018576
mp-1220205,0,label0,trigonal,,0.24614112413393485,-7.166451867807906
mp-756811,0,label0,orthorhombic,,7.132583788834786,-5.285231463195311
mp-4720,unknown,unconfirmed_candidate,hexagonal,,7.175493763158578,-2.40812420320613
mp-1096757,0,label0,orthorhombic,,5.4626771415659,-2.0997607282588895
mp-1213865,0,label0,monoclinic,,0.5486485567804813,-4.131943844732858
mp-1176437,unknown,unconfirmed_candidate,orthorhombic,,-0.9626511202474966,-5.817130307590213
mp-504619,unknown,unconfirmed_candidate,cubic,,15.132140447626519,0.4122799993299715
mp-1078939,unknown,unconfirmed_candidate,orthorhombic,,3.111796119676658,-4.573001053879496
mp-2716395,unknown,unconfirmed_candidate,triclinic,,-0.9184119187245372,-5.23767027525486
mp-1246083,unknown,unconfirmed_candidate,triclinic,,3.244110275255787,-0.5662585761496963
mp-1207934,0,label0,cubic,,-1.9281487104274646,-2.6684150640975517
mp-5948,0,label0,tetragonal,,3.0419298817537843,0.15051224570137478
mp-1194303,unknown,unconfirmed_candidate,monoclinic,,-6.02467105090826,-3.957495559776815
mp-3084,unknown,unconfirmed_candidate,hexagonal,,10.234260008338396,-5.11314807122033
mp-1198224,unknown,unconfirmed_candidate,monoclinic,,-6.444766083740944,-8.499875267644441
mp-1237948,0,label0,monoclinic,,3.0100583622594357,-3.3273133718161354
mp-1097324,0,label0,orthorhombic,,5.228341911753526,-0.7682048990975794
mp-559112,unknown,unconfirmed_candidate,tetragonal,,-1.8476155149060745,-0.5147647568768825
mp-567624,0,label0,monoclinic,,2.2692245136085667,-0.2820716700583077
mp-2229168,unknown,unconfirmed_candidate,monoclinic,,-2.8983023351767514,4.312646068095233
mp-639160,unknown,unconfirmed_candidate,tetragonal,,8.302472212664563,3.1121262532456555
mp-19184,unknown,unconfirmed_candidate,cubic,,-1.3372953370047576,9.146633950255417
mp-772871,0,label0,monoclinic,,-4.505789342391658,-3.176965868208706
mp-867213,0,label0,cubic,,11.242059787308527,10.009608531825489
mp-976763,0,label0,cubic,,2.5505035646992695,5.637082707595042
mp-2228435,0,label0,triclinic,,-8.364281883476384,3.8070830446598123
mp-1194132,unknown,unconfirmed_candidate,orthorhombic,,1.4110483965251177,-4.49716008125756
mp-559134,unknown,unconfirmed_candidate,trigonal,,1.9799118264661963,-2.969261993792074
mp-777961,unknown,unconfirmed_candidate,orthorhombic,,-3.3893142678373316,-5.740470971999962
mp-759304,unknown,unconfirmed_candidate,triclinic,,1.1973714987596544,-6.244698542631596
mp-12760,0,label0,hexagonal,,17.61468785525598,-0.7596034683175716
mp-2714037,0,label0,trigonal,,-0.413180664031362,-6.684125040693191
mp-1245366,unknown,unconfirmed_candidate,cubic,,3.9077671510060465,-4.865276668734422
mp-1208269,unknown,unconfirmed_candidate,monoclinic,,-0.8042741789187495,6.9205716448073815
mp-1215441,0,label0,cubic,,-5.730633264612539,-0.7158194698727414
mp-1207466,unknown,unconfirmed_candidate,orthorhombic,,3.578689281279823,-4.72219436287236
mp-1289193,unknown,unconfirmed_candidate,monoclinic,,-5.579155545202866,-0.08210596811384718
mp-554530,unknown,unconfirmed_candidate,orthorhombic,,0.19790105266043767,-5.975576468968725
mp-1096954,unknown,unconfirmed_candidate,cubic,,9.350173130337645,14.169424987416598
mp-8425,0,label0,trigonal,,2.3546366197336717,-6.716801144018929
mp-772942,unknown,unconfirmed_candidate,triclinic,,2.887080138643686,-5.134063367250258
mp-779334,unknown,unconfirmed_candidate,triclinic,,12.190436878479025,7.354392022929396
mp-1103226,unknown,unconfirmed_candidate,monoclinic,,5.41725515381626,-4.665775528070316
mp-760072,unknown,unconfirmed_candidate,monoclinic,Mn,6.62450127892755,-5.377363329579087
mp-3826,0,label0,tetragonal,,1.419993708901103,0.9070366136325987
mp-555761,unknown,unconfirmed_candidate,triclinic,,-6.774090826119902,-10.239334995213552
mp-866026,0,label0,cubic,,16.459556246721025,7.549112157791274
mp-2241022,unknown,unconfirmed_candidate,monoclinic,,-12.37180864465807,7.890150634115209
mp-1206773,0,label0,cubic,,5.190151581049893,0.47646676471527627
mp-1208981,0,label0,cubic,,-2.2392491999512494,-1.2678134232297786
mp-2230572,unknown,unconfirmed_candidate,triclinic,,8.582772903655814,5.571548279107397
mp-567999,0,label0,tetragonal,,1.31500181278901,5.874310203516465
mp-985705,unknown,unconfirmed_candidate,orthorhombic,,6.409851465256054,-1.9389232122224396
mp-983565,unknown,unconfirmed_candidate,tetragonal,,-5.281380519347426,0.888105165527211
mp-1521505,unknown,unconfirmed_candidate,orthorhombic,,-15.798452740776732,-4.825021724028405
mp-1522506,0,label0,triclinic,,-13.263961527305334,-4.519898212273027
mp-799579,0,label0,triclinic,,6.946429428066477,10.298581250156147
mp-3879,unknown,unconfirmed_candidate,orthorhombic,,7.640952471276778,2.1462555506980756
mp-555112,unknown,unconfirmed_candidate,monoclinic,,-7.229881794718434,-0.3765195769972429
mp-770430,unknown,unconfirmed_candidate,orthorhombic,,-7.319218873981626,-6.699779213094605
mp-757791,0,label0,monoclinic,,-4.194039722223675,-3.584332387723183
mp-19185,unknown,unconfirmed_candidate,orthorhombic,,-9.86052230939421,11.054056280764986
mp-1203837,0,label0,triclinic,,0.12069729496018766,-3.2164938453774514
mp-755871,unknown,unconfirmed_candidate,triclinic,,12.00533953263344,12.217348708771297
mp-1192172,unknown,unconfirmed_candidate,monoclinic,,4.187933081933231,-4.868746261891282
mp-766994,unknown,unconfirmed_candidate,triclinic,,-4.312279851394717,-5.914073981409459
mp-1188213,unknown,unconfirmed_candidate,orthorhombic,,-2.235729209836922,-5.453584853656579
mp-1213317,unknown,unconfirmed_candidate,orthorhombic,,8.649497447766372,1.8318995516586476
mp-780800,unknown,unconfirmed_candidate,triclinic,,18.24010631977491,14.609164183766545
mp-1219095,0,label0,orthorhombic,,-2.3541648543208424,1.946427860573742
mp-1095895,0,label0,orthorhombic,,6.245466022828943,-4.248090109091073
mp-973653,0,label0,cubic,,5.9839777165542465,-0.7999904886564089
mp-1218939,0,label0,monoclinic,,-12.740102015725341,1.0763039012435982
mp-1186078,0,label0,hexagonal,,7.6652573915102735,-6.104298743651203
mp-2227379,0,label0,tetragonal,,14.124827664276044,5.814299865304104
mp-23497,unknown,unconfirmed_candidate,orthorhombic,,-6.525167699888854,-0.46388095678365815
mp-754790,unknown,unconfirmed_candidate,monoclinic,,7.13960005855332,0.4578749709999812
mp-1104485,unknown,unconfirmed_candidate,orthorhombic,,8.782806110860838,7.686730450753302
mp-1188928,0,label0,monoclinic,,9.838740736100084,-6.885044732940269
mp-861883,0,label0,cubic,,10.682821924753723,-2.4260491779229465
mp-1191990,unknown,unconfirmed_candidate,orthorhombic,,-19.722795439970653,0.8399508610125572
mp-1048946,unknown,unconfirmed_candidate,trigonal,,-7.961789756805484,3.597539315483772
mp-758640,0,label0,triclinic,,-4.363744607901975,-4.043606443849576
mp-1101803,unknown,unconfirmed_candidate,orthorhombic,,-5.49643641745433,7.686177201314361
mp-734925,unknown,unconfirmed_candidate,cubic,,4.2848896679062545,-2.691338405972564
mp-1351504,0,label0,triclinic,,-3.9550552650328683,-0.6269540289090187
mp-1077470,unknown,unconfirmed_candidate,tetragonal,,13.758411811740576,6.508124617532349
mp-850876,unknown,unconfirmed_candidate,triclinic,,3.1133098594165354,16.78314609196195
mp-1179118,0,label0,cubic,,6.757643380129146,-4.945868981765141
mp-30903,unknown,unconfirmed_candidate,hexagonal,,7.684127600983237,-1.3114312619973276
mp-15896,unknown,unconfirmed_candidate,monoclinic,,0.5964934321586526,-4.1796701537623715
mp-1221038,unknown,unconfirmed_candidate,monoclinic,,-2.9152326101568846,-2.1907124883164837
mp-759243,unknown,unconfirmed_candidate,monoclinic,,-8.839245547304117,-0.20409274910553066
mp-4081,0,label0,cubic,,-1.1115755906588234,-6.2152510728952315
mp-645717,unknown,unconfirmed_candidate,monoclinic,,-4.928228430141932,-2.6727439436347407
mp-1376412,unknown,unconfirmed_candidate,triclinic,,4.7003770902719495,-3.873549910972242
mp-1213823,unknown,unconfirmed_candidate,hexagonal,,10.306200864011956,8.100231624913565
mp-2225369,0,label0,monoclinic,,10.851446135792889,4.775933739065792
mp-14794,unknown,unconfirmed_candidate,hexagonal,,7.041100765943012,-6.418170125946858
mp-862301,unknown,unconfirmed_candidate,orthorhombic,,-2.5527351745709908,8.755999177378076
mp-780628,unknown,unconfirmed_candidate,cubic,,-7.1509353918355565,-0.35735669778642176
mp-1215509,0,label0,tetragonal,,-2.8794407783230724,-1.625490254057791
mp-1094362,0,label0,hexagonal,,2.9940856827677784,-2.094460720623779
mp-1103990,0,label0,hexagonal,,15.007106815030419,3.8881801638366333
mp-1226306,unknown,unconfirmed_candidate,trigonal,,-5.997549031681665,-9.963181010227906
mp-735523,0,label0,trigonal,,0.3418625492446168,-2.5589754946419294
mp-2233724,unknown,unconfirmed_candidate,monoclinic,,-23.40438806989551,-0.5314685659357608
mp-755040,unknown,unconfirmed_candidate,monoclinic,,5.196168281906491,-4.480271637559195
mp-560977,0,label0,monoclinic,,0.3576589433847559,-3.5586792646207694
mp-510641,unknown,unconfirmed_candidate,orthorhombic,,-1.3273845806735984,0.8803999768748874
mp-1093803,0,label0,orthorhombic,,-1.0066495305226404,-2.2707981347475545
mp-2220919,unknown,unconfirmed_candidate,triclinic,,5.178985167835796,4.121573548862738
mp-1213771,unknown,unconfirmed_candidate,tetragonal,,-4.3978042820449375,-4.339835534788165
mp-1187967,0,label0,trigonal,,5.645195220192738,15.705899032552292
mp-707824,0,label0,hexagonal,,-1.2783608622286309,-2.5280441770907007
mp-1029374,unknown,unconfirmed_candidate,hexagonal,,-2.123481208174681,5.069675728200565
mp-753714,unknown,unconfirmed_candidate,cubic,,10.549823075760846,-6.692648206079156
mp-19394,unknown,unconfirmed_candidate,orthorhombic,,-14.167701832736839,2.2439802234028363
mp-1044287,unknown,unconfirmed_candidate,orthorhombic,,-12.240353202795479,-1.9263183243385082
mp-1191571,unknown,unconfirmed_candidate,trigonal,,-4.585611300939391,-6.29034593035696
mp-1177815,0,label0,trigonal,,-8.219168473949136,1.7865664520638305
mp-2227554,0,label0,monoclinic,,-1.8233098695730128,-4.0723560074352125
