material_id,formula,rank_hybrid,rank_gnn,rank_shift_hybrid_minus_gnn,gnn_probability,hybrid_probability,probability_delta,space_group_number,crystal_system,magnetic_elements,dft_selected
mp-532423,mp-532423,15347,30391,-15044,2.941775470348075e-31,0.000151204715485,0.000151204715485,13,monoclinic,,False
mp-772133,mp-772133,19744,34787,-15043,2.3791649798095487e-36,0.000151204715485,0.000151204715485,11,monoclinic,,False
mp-698669,mp-698669,4625,19668,-15043,8.146331487667633e-24,0.000151204715485,0.000151204715485,15,monoclinic,,False
mp-850535,mp-850535,14168,29207,-15039,3.3357979323792975e-30,0.000151204715485,0.000151204715485,14,monoclinic,,False
mp-778513,mp-778513,25485,40519,-15034,0.0,0.000151204715485,0.000151204715485,14,monoclinic,,False
mp-776065,mp-776065,25484,40518,-15034,0.0,0.000151204715485,0.000151204715485,62,orthorhombic,,False
mp-559109,mp-559109,4307,19340,-15033,1.2343215076128166e-23,0.000151204715485,0.000151204715485,61,orthorhombic,,False
mp-1025277,mp-1025277,25490,40520,-15030,0.0,0.000151204715485,0.000151204715485,107,tetragonal,,False
mp-774251,mp-774251,20568,35597,-15029,1.1845075025448247e-37,0.000151204715485,0.000151204715485,2,triclinic,,False
mp-18816,mp-18816,19165,34193,-15028,1.4870788444408162e-35,0.000151204715485,0.000151204715485,227,cubic,,False
mp-20141,mp-20141,22049,37077,-15028,1.316337738432803e-40,0.000151204715485,0.000151204715485,57,orthorhombic,,False
mp-542944,mp-542944,11545,26573,-15028,3.26222151034325e-28,0.000151204715485,0.000151204715485,14,monoclinic,,False
mp-541389,mp-541389,2062,17088,-15026,2.0310590943091516e-22,0.000151204715485,0.000151204715485,2,triclinic,,False
mp-18906,mp-18906,10545,25571,-15026,1.5333421252510224e-27,0.000151204715485,0.000151204715485,63,orthorhombic,,False
mp-1202719,mp-1202719,22232,37257,-15025,5.124828743728721e-41,0.000151204715485,0.000151204715485,62,orthorhombic,,False
mp-21609,mp-21609,6722,21747,-15025,4.7291969679347425e-25,0.000151204715485,0.000151204715485,62,orthorhombic,,False
mp-1194699,mp-1194699,6565,21590,-15025,6.0284868706125505e-25,0.000151204715485,0.000151204715485,31,orthorhombic,,False
mp-30671,mp-30671,994,16017,-15023,7.8438875808600545e-22,0.000151204715485,0.000151204715485,194,hexagonal,,False
mp-1200181,mp-1200181,2999,18021,-15022,6.613759973363753e-23,0.000151204715485,0.000151204715485,14,monoclinic,,False
mp-3237,mp-3237,1875,16896,-15021,2.641432457332602e-22,0.000151204715485,0.000151204715485,14,monoclinic,,False
mp-1214525,mp-1214525,14307,29326,-15019,2.7060528828810712e-30,0.000151204715485,0.000151204715485,194,hexagonal,,False
mp-4044,mp-4044,6562,21580,-15018,6.113758790162416e-25,0.000151204715485,0.000151204715485,19,orthorhombic,,False
mp-1202833,mp-1202833,17663,32681,-15018,1.201182024794624e-33,0.000151204715485,0.000151204715485,78,tetragonal,,False
mp-1181462,mp-1181462,3184,18201,-15017,5.323110957218897e-23,0.000151204715485,0.000151204715485,19,orthorhombic,,False
mp-5121,mp-5121,3436,18448,-15012,3.924027645397258e-23,0.000151204715485,0.000151204715485,15,monoclinic,,False
mp-1200836,mp-1200836,12869,27880,-15011,3.7700921255730806e-29,0.000151204715485,0.000151204715485,160,trigonal,,False
mp-1043948,mp-1043948,17870,32879,-15009,6.6538325082417885e-34,0.000151204715485,0.000151204715485,7,monoclinic,,False
mp-1198139,mp-1198139,12867,27874,-15007,3.787736352202653e-29,0.000151204715485,0.000151204715485,160,trigonal,,False
mp-1202959,mp-1202959,12868,27875,-15007,3.7824514800646324e-29,0.000151204715485,0.000151204715485,160,trigonal,,False
mp-38,mp-38,13527,28532,-15005,1.1156960316083868e-29,0.000151204715485,0.000151204715485,194,hexagonal,,False
mp-1202182,mp-1202182,12863,27868,-15005,3.8142413612091737e-29,0.000151204715485,0.000151204715485,160,trigonal,,False
mp-1520659,mp-1520659,25517,40521,-15004,0.0,0.000151204715485,0.000151204715485,48,orthorhombic,,False
mp-1360720,mp-1360720,25521,40522,-15001,0.0,0.000151204715485,0.000151204715485,13,monoclinic,,False
mp-1296331,mp-1296331,12482,27481,-14999,7.426615773444293e-29,0.000151204715485,0.000151204715485,1,triclinic,,False
mp-1189371,mp-1189371,21231,36230,-14999,8.2894343150551e-39,0.0001605163336715,0.0001605163336715,58,orthorhombic,,False
mp-29300,mp-29300,6668,21667,-14999,5.357165254193338e-25,0.000151204715485,0.000151204715485,14,monoclinic,,False
mp-1214639,mp-1214639,11635,26632,-14997,2.967919433317708e-28,0.000151204715485,0.000151204715485,176,hexagonal,,False
mp-1193173,mp-1193173,1207,16203,-14996,6.21881745536245e-22,0.000151204715485,0.000151204715485,62,orthorhombic,,False
mp-768304,mp-768304,23646,38641,-14995,8.407790785948902e-45,0.000151204715485,0.000151204715485,11,monoclinic,,False
mp-753824,mp-753824,19951,34946,-14995,1.3266923475700453e-36,0.000151204715485,0.000151204715485,14,monoclinic,,False
mp-17959,mp-17959,11218,26210,-14992,6.127431821950516e-28,0.000151204715485,0.000151204715485,14,monoclinic,,False
mp-1208605,mp-1208605,12194,27181,-14987,1.2105092016587055e-28,0.000151204715485,0.000151204715485,140,tetragonal,,False
mp-705401,mp-705401,20879,35864,-14985,3.777401797566407e-38,0.000151204715485,0.000151204715485,15,monoclinic,,False
mp-1079012,mp-1079012,10164,25149,-14985,3.1358852245198115e-27,0.000151204715485,0.000151204715485,121,tetragonal,,False
mp-24228,mp-24228,14650,29635,-14985,1.4423035446736232e-30,0.000151204715485,0.000151204715485,14,monoclinic,,False
mp-7800,mp-7800,11776,26760,-14984,2.421384330006845e-28,0.000151204715485,0.000151204715485,14,monoclinic,,False
mp-1217943,mp-1217943,8820,23804,-14984,2.407111831338325e-26,0.000151204715485,0.000151204715485,6,monoclinic,,False
mp-1214840,mp-1214840,15546,30529,-14983,2.166400353537211e-31,0.000151204715485,0.000151204715485,14,monoclinic,,False
mp-1202532,mp-1202532,18989,33971,-14982,2.8571839475659436e-35,0.000151204715485,0.000151204715485,15,monoclinic,,False
mp-729,mp-729,6001,20982,-14981,1.4251673526401791e-24,0.000151204715485,0.000151204715485,223,cubic,,False
mp-1101532,mp-1101532,17894,32874,-14980,6.754284929004282e-34,0.000151204715485,0.000151204715485,9,monoclinic,,False
mp-1045839,mp-1045839,12850,27830,-14980,4.1264758321322166e-29,0.000151204715485,0.000151204715485,15,monoclinic,,False
